controller,scenario,total_steps,comfort_violation_steps,comfort_violation_pct,avg_temp_deviation,max_temp_deviation,time_inside_comfort_pct,total_energy_kwh,avg_energy_kwh_per_hr,total_cost,avg_cost_per_hr,total_switches,switching_rate,solar_energy_used_kwh,solar_utilization_pct,grid_energy_imported_kwh,no_action_pct,cool_low_pct,cool_medium_pct,cool_high_pct,precool_pct,reduce_hvac_pct,cumulative_reward
NO_CONTROL,Scenario_A_Comfortable,24,1,4.17,0.0,0.01,95.83,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0653
SIMPLE_THERMOSTAT,Scenario_A_Comfortable,24,1,4.17,0.0,0.01,95.83,1.0963,0.5481,0.0,0.0,1,0.042,1.0963,100.0,0.0,95.8,4.2,0.0,0.0,0.0,0.0,0.0563
WISP_RULE_BASED,Scenario_A_Comfortable,24,0,0.0,0.0,0.0,100.0,1.2917,0.6458,0.7639,0.3819,2,0.083,1.2153,94.09,0.0764,95.8,0.0,0.0,0.0,4.2,0.0,-0.75
WISP_DQN,Scenario_A_Comfortable,24,0,0.0,0.0,0.0,100.0,5.62,2.81,0.0,0.0,0,0.0,5.62,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.562
NO_CONTROL,Scenario_B_Moderately_Warm,24,24,100.0,2.786,3.01,0.0,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-51.0744
SIMPLE_THERMOSTAT,Scenario_B_Moderately_Warm,24,20,83.33,0.571,3.01,16.67,3.8933,1.9467,0.0347,0.0174,9,0.375,3.8899,99.91,0.0035,16.7,50.0,25.0,8.3,0.0,0.0,-7.022
WISP_RULE_BASED,Scenario_B_Moderately_Warm,24,24,100.0,0.768,3.01,0.0,3.7008,1.8504,0.0347,0.0174,7,0.292,3.6974,99.91,0.0035,12.5,66.7,12.5,8.3,0.0,0.0,-9.9396
WISP_DQN,Scenario_B_Moderately_Warm,24,11,45.83,0.547,3.01,54.17,5.7192,2.8596,0.0,0.0,1,0.042,5.7192,100.0,0.0,0.0,0.0,95.8,4.2,0.0,0.0,-7.2355
NO_CONTROL,Scenario_C_Hot_Outdoor,24,24,100.0,5.283,6.02,0.0,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-124.4142
SIMPLE_THERMOSTAT,Scenario_C_Hot_Outdoor,24,20,83.33,0.708,4.51,16.67,3.8963,1.9481,0.1042,0.0521,12,0.5,3.8858,99.73,0.0104,16.7,54.2,16.7,12.5,0.0,0.0,-10.1072
WISP_RULE_BASED,Scenario_C_Hot_Outdoor,24,20,83.33,0.861,4.51,16.67,3.8963,1.9481,0.1042,0.0521,11,0.458,3.8858,99.73,0.0104,20.8,45.8,20.8,12.5,0.0,0.0,-12.5331
WISP_DQN,Scenario_C_Hot_Outdoor,24,9,37.5,0.778,4.51,62.5,4.5642,2.2821,0.0,0.0,12,0.5,4.5642,100.0,0.0,25.0,0.0,70.8,4.2,0.0,0.0,-13.3107
NO_CONTROL,Scenario_D_Solar_Available,24,24,100.0,2.29,2.43,0.0,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-40.4661
SIMPLE_THERMOSTAT,Scenario_D_Solar_Available,24,18,75.0,0.301,2.01,25.0,3.1204,1.5602,0.0,0.0,13,0.542,3.1204,100.0,0.0,25.0,62.5,8.3,4.2,0.0,0.0,-3.5158
WISP_RULE_BASED,Scenario_D_Solar_Available,24,24,100.0,0.442,2.01,0.0,3.0213,1.5106,0.0,0.0,12,0.5,3.0213,100.0,0.0,25.0,62.5,12.5,0.0,0.0,0.0,-5.6094
WISP_DQN,Scenario_D_Solar_Available,24,6,25.0,0.237,2.01,75.0,5.0425,2.5213,0.0,0.0,5,0.208,5.0425,100.0,0.0,12.5,0.0,87.5,0.0,0.0,0.0,-2.0972
NO_CONTROL,Scenario_E_High_Tariff,24,24,100.0,1.785,2.02,0.0,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-30.0078
SIMPLE_THERMOSTAT,Scenario_E_High_Tariff,24,17,70.83,0.193,1.51,29.17,2.925,1.4625,0.0,0.0,15,0.625,2.925,100.0,0.0,29.2,58.3,12.5,0.0,0.0,0.0,-2.281
WISP_RULE_BASED,Scenario_E_High_Tariff,24,24,100.0,0.3,1.51,0.0,2.8288,1.4144,0.0,0.0,15,0.625,2.8288,100.0,0.0,29.2,62.5,8.3,0.0,0.0,0.0,-3.7616
WISP_DQN,Scenario_E_High_Tariff,24,4,16.67,0.14,1.51,83.33,5.0425,2.5213,0.0,0.0,5,0.208,5.0425,100.0,0.0,12.5,0.0,87.5,0.0,0.0,0.0,-1.1407
NO_CONTROL,Scenario_F_Personalized_Comfort,24,24,100.0,3.807,4.28,0.0,1.0,0.5,0.0,0.0,0,0.0,1.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-79.3398
SIMPLE_THERMOSTAT,Scenario_F_Personalized_Comfort,24,24,100.0,0.747,2.99,0.0,4.3746,2.1873,0.0347,0.0174,2,0.083,4.3711,99.92,0.0035,0.0,62.5,29.2,8.3,0.0,0.0,-9.4795
WISP_RULE_BASED,Scenario_F_Personalized_Comfort,24,24,100.0,0.977,2.99,0.0,4.0858,2.0429,0.0347,0.0174,2,0.083,4.0824,99.92,0.0035,0.0,75.0,16.7,8.3,0.0,0.0,-13.1748
WISP_DQN,Scenario_F_Personalized_Comfort,24,13,54.17,0.731,2.99,45.83,5.0425,2.5213,0.0,0.0,6,0.25,5.0425,100.0,0.0,12.5,0.0,87.5,0.0,0.0,0.0,-9.7915
