episode,reward,energy_kwh,cost,comfort_penalty,switching_events,no_action_pct,cool_low_pct,cool_medium_pct,cool_high_pct,precool_pct,reduce_hvac_pct,epsilon
1,-16.4978,4.6838,4.2708,11.6599,19,12.5,20.8,12.5,29.2,8.3,16.7,0.985
2,-12.0787,4.4854,3.8194,7.6814,19,20.8,4.2,29.2,8.3,20.8,16.7,0.9702
3,-7.7615,4.6867,3.5417,3.7177,18,16.7,25.0,4.2,20.8,20.8,12.5,0.9557
4,-13.4841,4.8821,3.8542,8.9411,22,20.8,12.5,8.3,25.0,20.8,12.5,0.9413
5,-5.5411,4.3921,2.3264,2.5574,21,12.5,20.8,12.5,16.7,16.7,20.8,0.9272
6,-2.8915,3.1292,1.7361,0.4836,19,20.8,25.0,8.3,12.5,4.2,29.2,0.9133
7,-7.0271,4.9783,3.7153,2.6354,22,12.5,8.3,12.5,16.7,29.2,20.8,0.8996
8,-3.7389,4.1967,2.1875,0.9773,19,8.3,8.3,20.8,16.7,12.5,33.3,0.8861
9,-3.5689,3.9954,1.5625,1.3747,20,12.5,20.8,29.2,16.7,0.0,20.8,0.8728
10,-5.1488,4.1996,4.4792,0.0,20,8.3,20.8,8.3,16.7,16.7,29.2,0.8597
11,-5.1989,4.5875,3.5417,1.0452,20,4.2,25.0,8.3,16.7,20.8,25.0,0.8468
12,-16.8879,3.4208,2.6736,13.6029,18,16.7,16.7,12.5,12.5,8.3,33.3,0.8341
13,-48.5409,4.0042,3.0208,44.9601,18,8.3,16.7,12.5,4.2,25.0,33.3,0.8216
14,-8.8461,3.905,3.0556,5.1199,20,16.7,25.0,12.5,12.5,12.5,20.8,0.8093
15,-108.606,4.78,3.1597,104.8611,20,16.7,16.7,16.7,12.5,25.0,12.5,0.7972
16,-6.617,3.8088,2.3611,3.7395,17,8.3,37.5,4.2,8.3,16.7,25.0,0.7852
17,-2.7566,2.7383,1.3889,0.9638,13,20.8,25.0,12.5,4.2,4.2,33.3,0.7734
18,-32.8137,4.5904,4.8958,27.429,17,16.7,4.2,12.5,29.2,12.5,25.0,0.7618
19,-73.4654,3.7096,2.0139,70.9822,16,12.5,20.8,16.7,8.3,12.5,29.2,0.7504
20,-12.4272,4.5904,4.2708,7.53,20,12.5,12.5,8.3,16.7,25.0,25.0,0.7391
21,-2.7363,3.0329,2.0486,0.0,19,20.8,29.2,4.2,4.2,12.5,29.2,0.728
22,-7.1892,4.3892,3.2639,3.249,21,8.3,25.0,16.7,12.5,16.7,20.8,0.7171
23,-77.4158,3.9954,1.2153,75.6758,18,12.5,37.5,20.8,0.0,16.7,12.5,0.7064
24,-91.9337,2.3533,1.1806,90.3149,13,25.0,25.0,4.2,4.2,4.2,37.5,0.6958
25,-3.3892,4.0042,2.8819,0.0,17,12.5,8.3,16.7,16.7,12.5,33.3,0.6853
26,-26.3021,4.5817,2.1875,23.929,12,16.7,33.3,16.7,20.8,8.3,4.2,0.6751
27,-6.8795,4.8792,3.9236,2.5653,16,16.7,25.0,8.3,25.0,16.7,8.3,0.6649
28,-97.5054,4.0975,2.3611,94.6068,18,12.5,41.7,8.3,20.8,4.2,12.5,0.655
29,-4.3494,4.5846,2.3958,1.2141,23,4.2,12.5,20.8,20.8,12.5,29.2,0.6451
30,-55.4873,5.06,2.7431,52.3454,17,8.3,16.7,41.7,12.5,12.5,8.3,0.6355
31,-105.6052,6.4308,6.9444,98.465,14,4.2,8.3,25.0,45.8,12.5,4.2,0.6259
32,-40.0421,4.1908,0.6597,39.0383,15,12.5,0.0,37.5,16.7,4.2,29.2,0.6165
33,-3.8035,2.8404,1.0764,2.0896,18,20.8,12.5,8.3,4.2,12.5,41.7,0.6073
34,-2.3913,3.0329,1.0764,0.7967,16,12.5,20.8,8.3,12.5,4.2,41.7,0.5982
35,-18.1003,5.1621,2.3958,15.4728,14,8.3,4.2,37.5,16.7,16.7,16.7,0.5892
36,-119.5037,5.9525,5.625,113.6615,14,12.5,16.7,4.2,58.3,4.2,4.2,0.5804
37,-3.6396,4.3746,1.2847,1.9166,17,12.5,12.5,54.2,4.2,4.2,12.5,0.5717
38,-10.4631,5.4508,4.5486,5.4686,18,4.2,8.3,41.7,16.7,16.7,12.5,0.5631
39,-7.6898,5.4625,4.5833,2.9611,12,8.3,8.3,16.7,4.2,45.8,16.7,0.5546
40,-91.8137,5.0571,2.0139,89.5152,15,4.2,20.8,45.8,12.5,8.3,8.3,0.5463
41,-10.9513,4.2842,2.7431,7.8818,14,4.2,25.0,33.3,4.2,12.5,20.8,0.5381
42,-3.2223,5.34,1.1458,1.9876,12,4.2,8.3,70.8,12.5,0.0,4.2,0.5301
43,-128.3622,6.9208,6.1458,122.0855,14,4.2,0.0,20.8,16.7,54.2,4.2,0.5221
44,-6.6553,4.3804,1.9097,4.3454,16,0.0,54.2,20.8,8.3,8.3,8.3,0.5143
45,-73.355,6.4425,7.6736,65.5222,13,8.3,8.3,0.0,8.3,66.7,8.3,0.5066
46,-4.8513,4.9638,2.9167,1.3727,20,8.3,4.2,45.8,8.3,16.7,16.7,0.499
47,-1.6623,4.8617,0.8681,0.4131,17,0.0,8.3,54.2,8.3,8.3,20.8,0.4915
48,-14.5971,4.2871,2.0139,12.3716,12,8.3,62.5,8.3,12.5,8.3,0.0,0.4841
49,-3.6697,4.4738,1.1111,2.2337,15,0.0,45.8,33.3,8.3,4.2,8.3,0.4768
50,-10.0727,5.0513,0.7986,9.1132,13,8.3,12.5,62.5,4.2,8.3,4.2,0.4697
51,-58.3989,6.0517,5.9722,52.2624,13,12.5,8.3,4.2,0.0,66.7,8.3,0.4626
52,-119.4303,7.1192,7.3611,112.0839,11,4.2,8.3,8.3,8.3,70.8,0.0,0.4557
53,-16.8794,5.2467,1.6667,15.0041,14,4.2,0.0,66.7,4.2,12.5,12.5,0.4489
54,-20.6847,5.1475,0.5556,19.9828,13,4.2,8.3,66.7,4.2,8.3,8.3,0.4421
55,-0.901,3.2196,0.6597,0.0,11,8.3,70.8,0.0,8.3,0.0,12.5,0.4355
56,-9.4164,4.955,1.4931,7.589,16,8.3,16.7,58.3,4.2,8.3,4.2,0.429
57,-13.0789,4.5729,2.0486,10.6966,15,4.2,54.2,25.0,4.2,12.5,0.0,0.4225
58,-4.2525,5.7338,2.3958,1.5821,16,0.0,12.5,58.3,8.3,16.7,4.2,0.4162
59,-39.8584,5.9233,2.7778,37.1674,9,0.0,0.0,75.0,8.3,12.5,4.2,0.41
60,-13.601,4.7625,1.5278,11.7189,16,8.3,16.7,54.2,8.3,4.2,8.3,0.4038
61,-58.137,5.3488,1.25,56.6969,14,8.3,12.5,50.0,4.2,20.8,4.2,0.3977
62,-12.8755,6.0283,2.8819,9.7388,16,4.2,8.3,54.2,12.5,20.8,0.0,0.3918
63,-13.1767,4.2871,1.9792,10.6867,18,4.2,45.8,16.7,0.0,20.8,12.5,0.3859
64,-1.7721,3.8029,1.4583,0.0649,12,12.5,62.5,4.2,8.3,8.3,4.2,0.3801
65,-23.5932,5.7338,3.1597,20.1937,15,0.0,4.2,62.5,12.5,12.5,8.3,0.3744
66,-24.622,5.6288,1.3194,23.289,11,0.0,12.5,75.0,4.2,8.3,0.0,0.3688
67,-17.6316,4.955,0.9028,16.5563,13,4.2,0.0,66.7,4.2,8.3,16.7,0.3633
68,-6.8306,4.1879,2.5347,3.964,14,8.3,62.5,12.5,8.3,8.3,0.0,0.3578
69,-27.5574,3.5054,0.0347,27.3725,10,8.3,70.8,12.5,4.2,0.0,4.2,0.3525
70,-11.5717,4.2783,0.9375,10.3433,14,8.3,41.7,37.5,4.2,4.2,4.2,0.3472
71,-3.8441,5.2438,0.3125,3.6997,7,4.2,4.2,70.8,0.0,12.5,8.3,0.342
72,-6.4106,3.7038,1.3542,4.7997,12,12.5,70.8,4.2,4.2,8.3,0.0,0.3368
73,-40.123,5.4508,3.8194,36.0723,14,16.7,8.3,41.7,0.0,33.3,0.0,0.3318
74,-42.8841,5.5413,0.8681,41.8528,14,0.0,12.5,54.2,4.2,20.8,8.3,0.3268
75,-8.4263,4.9579,1.5972,6.4429,17,4.2,37.5,41.7,12.5,4.2,0.0,0.3219
76,-42.2215,5.6288,0.7986,41.5198,9,0.0,4.2,79.2,0.0,12.5,4.2,0.3171
77,-1.5635,5.3342,0.3125,1.4782,6,8.3,0.0,87.5,4.2,0.0,0.0,0.3123
78,-24.7278,4.6604,0.4167,24.3688,8,12.5,4.2,70.8,4.2,0.0,8.3,0.3076
79,-5.6867,5.3371,0.8681,4.935,8,8.3,4.2,79.2,4.2,4.2,0.0,0.303
80,-6.1819,3.2254,1.9792,3.5357,19,4.2,20.8,12.5,4.2,12.5,45.8,0.2985
81,-8.5276,3.3129,0.2083,7.8464,16,4.2,54.2,16.7,4.2,0.0,20.8,0.294
82,-7.9435,4.57,2.1528,5.5047,14,0.0,8.3,54.2,8.3,4.2,25.0,0.2896
83,-9.8646,5.4333,0.6597,9.385,7,0.0,0.0,83.3,0.0,8.3,8.3,0.2852
84,-1.4439,5.4363,1.4583,0.0,10,0.0,4.2,75.0,12.5,0.0,8.3,0.281
85,-91.1038,5.4333,0.7639,90.418,9,0.0,8.3,79.2,4.2,4.2,4.2,0.2767
86,-8.7873,5.2379,0.5556,8.3944,7,8.3,4.2,83.3,0.0,4.2,0.0,0.2726
87,-0.6311,4.5642,0.625,0.0,9,4.2,41.7,50.0,4.2,0.0,0.0,0.2685
88,-7.2975,4.5613,0.0,7.1536,12,4.2,20.8,66.7,0.0,0.0,8.3,0.2645
89,-21.2575,5.4304,0.4514,21.0901,5,0.0,12.5,83.3,0.0,4.2,0.0,0.2605
90,-9.0879,5.1446,0.5903,8.3003,14,0.0,29.2,62.5,4.2,4.2,0.0,0.2566
91,-2.1668,2.9367,1.2847,0.3001,17,29.2,25.0,4.2,4.2,12.5,25.0,0.2528
92,-9.7844,1.2888,0.0,9.5633,7,79.2,4.2,4.2,0.0,0.0,12.5,0.249
93,-0.7814,5.2379,0.7986,0.1906,6,4.2,4.2,83.3,0.0,4.2,4.2,0.2452
94,-0.0382,4.8529,0.0,0.1235,8,4.2,4.2,75.0,4.2,0.0,12.5,0.2415
95,-1.5078,1.6767,0.7639,0.4463,9,4.2,8.3,4.2,4.2,0.0,79.2,0.2379
96,-12.3261,5.34,1.4583,10.7226,13,4.2,8.3,70.8,8.3,4.2,4.2,0.2344
97,-1.6645,5.5267,0.0,1.9672,5,0.0,8.3,87.5,0.0,4.2,0.0,0.2308
98,-63.1769,6.1421,4.7222,58.2244,15,8.3,12.5,16.7,4.2,54.2,4.2,0.2274
99,-11.8132,5.0483,0.4514,11.2576,12,8.3,8.3,70.8,8.3,0.0,4.2,0.224
100,-7.3405,4.5671,0.9722,6.3055,10,4.2,37.5,45.8,0.0,8.3,4.2,0.2206
101,-44.6453,5.8183,0.8681,44.1417,4,0.0,0.0,91.7,8.3,0.0,0.0,0.2173
102,-46.214,5.4333,0.9375,45.4511,7,4.2,0.0,83.3,0.0,8.3,4.2,0.214
103,-1.3133,1.9654,0.6597,0.1369,14,33.3,12.5,8.3,4.2,0.0,41.7,0.2108
104,-30.2654,5.6258,0.5556,29.9613,6,4.2,0.0,87.5,4.2,4.2,0.0,0.2077
105,-36.3807,5.2379,0.5903,35.9524,7,8.3,4.2,83.3,4.2,0.0,0.0,0.2046
106,-3.165,3.3129,0.3819,2.8067,6,8.3,79.2,4.2,0.0,4.2,4.2,0.2015
107,-6.7869,2.0646,1.1458,5.2246,12,4.2,20.8,0.0,8.3,0.0,66.7,0.1985
108,-97.5879,5.4363,0.5903,96.9294,12,0.0,4.2,75.0,8.3,4.2,8.3,0.1955
109,-32.7319,6.4163,5.3125,27.6548,6,0.0,4.2,58.3,0.0,37.5,0.0,0.1926
110,-14.1694,4.6575,0.0,14.3852,5,8.3,25.0,66.7,0.0,0.0,0.0,0.1897
111,-2.2203,3.6075,1.3889,0.4644,14,0.0,58.3,8.3,4.2,8.3,20.8,0.1868
112,-2.4564,3.7008,1.2153,1.2869,6,0.0,83.3,4.2,0.0,8.3,4.2,0.184
113,-50.2361,6.9267,6.875,43.4663,9,12.5,0.0,8.3,4.2,75.0,0.0,0.1813
