episode,total_reward,total_energy_kwh,total_cost,total_comfort_penalty,switching_count,no_action_pct,epsilon,avg_loss,episode_length,init_t_in,outdoor_t,moving_avg_reward_10
1,-0.4405,1.6579,0.1042,0.0,10,25.0,0.96,0.0,12,76.48,76.05,-0.4405
2,-11.7696,1.8533,0.4861,11.0091,9,16.7,0.9216,0.0,12,78.7,72.04,-6.105
3,-1.0787,2.9208,0.9028,0.0,9,8.3,0.8847,0.124685,12,76.45,78.14,-4.4296
4,-24.6192,2.5358,0.7986,23.5582,10,8.3,0.8493,0.277582,12,77.66,72.15,-9.477
5,-1.4659,2.6321,0.8333,0.4791,8,8.3,0.8154,0.298884,12,72.14,92.0,-7.8748
6,-2.1209,3.2154,1.6667,0.3424,8,8.3,0.7828,0.263471,12,73.67,88.83,-6.9158
7,-3.1333,2.0488,0.4861,2.3423,10,16.7,0.7514,0.220623,12,72.18,88.25,-6.3754
8,-1.2735,2.5358,1.0069,0.0,10,25.0,0.7214,0.227751,12,77.52,86.12,-5.7377
9,-15.5927,1.9554,0.9375,14.332,10,25.0,0.6925,0.194379,12,78.99,78.29,-6.8327
10,-0.7282,2.2383,0.5903,0.0,7,8.3,0.6648,0.186114,12,76.54,77.91,-6.2223
11,-2.6635,2.2354,0.1736,2.36,7,25.0,0.6382,0.178239,12,73.06,80.62,-6.4446
12,-1.5042,2.6263,0.6597,0.5939,10,0.0,0.6127,0.16561,12,73.06,85.1,-5.418
13,-0.7653,1.4654,0.0,0.6618,5,16.7,0.5882,0.188714,12,75.68,87.65,-5.3867
14,-0.8225,2.5271,0.4861,0.1794,8,8.3,0.5647,0.138196,12,76.53,70.19,-3.007
15,-10.79,2.6263,0.5208,10.0714,9,0.0,0.5421,0.13862,12,77.47,85.22,-3.9394
16,-5.9174,1.8475,0.0,5.7522,7,16.7,0.5204,0.16431,12,76.58,84.37,-4.3191
17,-14.1051,2.4308,0.4167,13.5732,7,0.0,0.4996,0.151793,12,77.98,73.96,-5.4162
18,-4.9566,2.915,1.0417,3.9856,4,0.0,0.4796,0.142142,12,77.05,81.86,-5.7846
19,-28.0402,2.2354,0.3819,27.4742,8,16.7,0.4604,0.161851,12,78.72,83.76,-7.0293
20,-0.5806,2.2354,0.3472,0.0,9,25.0,0.442,0.205369,12,72.8,78.71,-7.0145
21,-0.3868,1.4654,0.2778,0.0,5,50.0,0.4243,0.193103,12,72.5,85.87,-6.7869
22,-0.496,3.2067,0.5556,0.0,5,0.0,0.4073,0.19131,12,74.12,91.93,-6.686
23,-0.5731,2.8158,0.4167,0.1297,6,0.0,0.3911,0.167697,12,76.93,83.8,-6.6668
24,-11.4975,1.8504,0.1389,11.1409,8,25.0,0.3754,0.205795,12,76.84,71.71,-7.7343
25,-11.4757,1.0775,0.0,11.4335,3,66.7,0.3604,0.241923,12,78.14,88.14,-7.8029
26,-2.8606,2.81,0.0,3.1416,0,0.0,0.346,0.17652,12,76.11,90.28,-7.4972
27,-12.3656,2.6263,0.7639,11.3491,10,0.0,0.3321,0.184312,12,78.73,70.92,-7.3233
28,-22.4694,2.2325,0.0,22.3927,6,8.3,0.3189,0.214796,12,78.55,82.11,-9.0745
29,-4.6225,2.8158,0.6944,3.9958,4,0.0,0.3061,0.280351,12,77.51,87.42,-6.7328
30,-13.1423,2.7225,0.8333,12.1646,8,8.3,0.2939,0.229744,12,78.93,91.93,-7.989
31,-0.4902,2.1392,0.3472,0.0,7,25.0,0.2821,0.181704,12,74.09,77.69,-7.9993
32,-0.6523,2.6233,0.3472,0.2605,6,8.3,0.2708,0.198182,12,72.99,70.53,-8.0149
33,-1.5333,3.1104,0.4514,1.0839,6,0.0,0.26,0.257675,12,75.4,80.48,-8.1109
34,-5.1134,2.8158,0.3472,4.8908,3,8.3,0.2496,0.188393,12,74.47,88.03,-7.4725
35,-1.6586,3.4137,1.6667,0.0,6,0.0,0.2396,0.164794,12,76.62,80.95,-6.4908
36,-0.3015,2.425,0.0,0.394,3,8.3,0.23,0.173983,12,72.93,82.24,-6.2349
37,-1.4438,3.02,1.3194,0.0,8,0.0,0.2208,0.201994,12,77.51,80.89,-5.1427
38,-0.3721,2.5242,0.2778,0.0912,5,16.7,0.212,0.190197,12,73.98,89.27,-2.933
39,-0.8929,2.3288,0.0,0.8758,5,0.0,0.2035,0.198117,12,73.31,81.83,-2.56
40,-3.0797,3.7025,2.0139,1.0458,7,0.0,0.1954,0.208589,12,76.41,70.17,-1.5538
41,-1.9375,4.0,2.2917,0.0,0,0.0,0.1876,0.178484,12,74.9,75.88,-1.6985
42,-8.661,3.4167,1.9097,6.9548,2,16.7,0.18,0.18784,12,78.06,73.72,-2.4994
43,0.08,3.0083,0.0694,0.0,3,0.0,0.1728,0.196433,12,72.83,78.72,-2.338
44,-5.3846,3.0083,0.3819,5.0959,4,0.0,0.1659,0.152583,12,72.0,82.23,-2.3652
45,-11.7926,3.7083,2.2569,9.7614,2,0.0,0.1593,0.195209,12,76.99,74.48,-3.3786
46,-1.9527,3.9008,1.9792,0.224,2,0.0,0.1529,0.201051,12,75.55,79.38,-3.5437
47,-2.3398,3.7083,2.0486,0.5211,2,0.0,0.1468,0.171455,12,76.97,74.46,-3.6333
48,-7.9058,3.8017,1.7014,6.3506,4,0.0,0.1409,0.174007,12,76.17,78.51,-4.3867
49,-0.3726,2.8158,0.3472,0.0,6,8.3,0.1353,0.198497,12,72.57,80.59,-4.3346
50,-3.1449,2.6175,0.0,3.3567,1,8.3,0.1299,0.200346,12,77.27,90.21,-4.3412
51,0.0847,2.9092,0.1042,0.0,2,0.0,0.1247,0.20393,12,72.23,70.6,-4.1389
52,-0.1632,2.9092,0.3472,0.0,2,0.0,0.1197,0.179555,12,73.27,91.9,-3.2892
53,-0.7498,2.9092,0.1736,0.7636,2,0.0,0.1149,0.211967,12,75.13,81.86,-3.3721
54,-1.7182,3.405,1.6319,0.1941,4,0.0,0.1103,0.202646,12,76.92,82.71,-3.0055
55,-0.9047,2.81,0.0,1.1857,0,0.0,0.1059,0.189786,12,72.55,81.54,-1.9167
56,-0.3483,2.9092,0.0347,0.5038,2,0.0,0.1017,0.154027,12,72.87,83.18,-1.7563
57,-2.744,4.0,2.2917,0.7065,2,0.0,0.0976,0.238664,12,78.37,83.89,-1.7967
58,-33.7126,4.0,2.2917,31.7751,0,0.0,0.0937,0.221146,12,78.49,78.66,-4.3774
59,-41.2153,4.0,2.2917,39.1778,2,0.0,0.09,0.250548,12,78.85,85.72,-8.4616
60,0.281,2.81,0.0,0.0,0,0.0,0.0864,0.245333,12,73.39,83.69,-8.119
